frame,tipo_objeto,conf,track_id,x1,y1,x2,y2,conf_matricula,mx1,my1,mx2,my2,texto_matricula
20,bus,0.945,1,1368,128,1807,441,0.677,1659,385,1709,400,
20,car,0.815,2,1307,315,1372,365,0.0,0.0,0.0,0.0,0.0,
20,car,0.544,5,1223,317,1265,344,0.0,0.0,0.0,0.0,0.0,
20,person,0.473,6,1005,310,1032,373,0.0,0.0,0.0,0.0,0.0,
21,bus,0.941,1,1367,130,1800,439,0.708,1651,385,1699,399,€7
21,car,0.82,2,1306,315,1371,365,0.0,0.0,0.0,0.0,0.0,
21,car,0.567,5,1224,318,1263,344,0.0,0.0,0.0,0.0,0.0,
21,person,0.494,6,1004,306,1034,373,0.0,0.0,0.0,0.0,0.0,
22,bus,0.941,1,1363,134,1790,438,0.586,1643,384,1691,398,
22,car,0.823,2,1306,315,1370,364,0.0,0.0,0.0,0.0,0.0,
22,car,0.58,5,1223,319,1262,344,0.0,0.0,0.0,0.0,0.0,
23,bus,0.936,1,1360,136,1782,438,0.274,1635,383,1681,397,
23,car,0.828,2,1306,314,1369,363,0.0,0.0,0.0,0.0,0.0,
23,car,0.537,5,1224,322,1259,344,0.0,0.0,0.0,0.0,0.0,
24,bus,0.936,1,1359,139,1775,436,0.0,0.0,0.0,0.0,0.0,
24,car,0.843,2,1305,314,1369,363,0.0,0.0,0.0,0.0,0.0,
24,car,0.522,5,1223,321,1259,344,0.0,0.0,0.0,0.0,0.0,
25,bus,0.934,1,1360,141,1770,435,0.0,0.0,0.0,0.0,0.0,
25,car,0.837,2,1305,313,1368,363,0.0,0.0,0.0,0.0,0.0,
25,car,0.481,5,1223,323,1259,345,0.0,0.0,0.0,0.0,0.0,
26,bus,0.931,1,1356,144,1760,434,0.309,1614,381,1659,395,
26,car,0.835,2,1303,313,1367,363,0.0,0.0,0.0,0.0,0.0,
26,car,0.461,5,1224,324,1259,345,0.0,0.0,0.0,0.0,0.0,
27,bus,0.947,1,1354,147,1747,430,0.0,0.0,0.0,0.0,0.0,
27,car,0.829,2,1303,313,1366,363,0.0,0.0,0.0,0.0,0.0,
27,car,0.482,5,1225,325,1259,345,0.0,0.0,0.0,0.0,0.0,
28,bus,0.95,1,1354,150,1740,428,0.622,1601,380,1646,393,
28,car,0.815,2,1303,313,1364,363,0.0,0.0,0.0,0.0,0.0,
28,car,0.504,5,1224,325,1259,345,0.0,0.0,0.0,0.0,0.0,
29,bus,0.942,1,1352,152,1732,428,0.0,0.0,0.0,0.0,0.0,
29,car,0.806,2,1302,312,1365,363,0.0,0.0,0.0,0.0,0.0,
29,car,0.495,5,1225,326,1259,345,0.0,0.0,0.0,0.0,0.0,
29,person,0.524,6,1014,299,1043,367,0.0,0.0,0.0,0.0,0.0,
30,bus,0.945,1,1350,153,1727,426,0.473,1590,378,1633,391,
30,car,0.775,2,1303,312,1364,363,0.0,0.0,0.0,0.0,0.0,
30,car,0.507,5,1225,326,1259,345,0.0,0.0,0.0,0.0,0.0,
30,person,0.468,6,1015,297,1045,367,0.0,0.0,0.0,0.0,0.0,
31,bus,0.94,1,1349,155,1722,426,0.0,0.0,0.0,0.0,0.0,
31,car,0.725,2,1302,311,1363,363,0.0,0.0,0.0,0.0,0.0,
31,car,0.502,5,1226,326,1258,344,0.0,0.0,0.0,0.0,0.0,
32,bus,0.936,1,1346,156,1714,425,0.0,0.0,0.0,0.0,0.0,
32,car,0.722,2,1302,312,1361,363,0.0,0.0,0.0,0.0,0.0,
32,car,0.528,5,1226,325,1259,344,0.0,0.0,0.0,0.0,0.0,
33,bus,0.937,1,1344,158,1708,425,0.0,0.0,0.0,0.0,0.0,
